questionBody,questionResponse,,,,,
"Do we need to remember the numbers of how much energy is absorbed/emited by each? Or should we just have a general idea that a lot of energy absorbed by atmo, temperature equilibriam as a whole?	General idea! And what potential effects that could alter it like greenhouse gases etc.",,,,,,
"are the exams going to be at office hours today?	""As stated in the canvas announcement"," yes they will be|The office hours are 12-2?""",,,,,
"When will the participation grades for each lecture be posted?	""I'm not sure I'll ask Perry. I don't know if you can see it. As long as you answer all the questions like the one being posed now"," you're good.""",,,,,
"Is there any way to get rid of ""hide live"" notification? It's covering a lot of my screen	""Not sure"," you can toggle the screens though and as long as you have your own lecture slide open you only really need to hear Perry""",,,,,
"slide 38 is still hidden	I don't think we ever got to that slide. it's open now though",,,,,,
"can you reopen the poll for the die question? My live stream was off sync and the poll didnt open.	sure for a few minutes!|thanks",,,,,,
"Where is the beginning survey we are supposed to complete?	under assignments on canvas. 9th one down",,,,,,
"Why was it SW and not NW?	""friction slows the wind down. So once you set it up like usual (H to L", coriolis force turns to left in S) you can then add friction as slowing the wind down," which counteracts CO force slightly and angles back towards favoring L pressure|Wind moves FROM the SW""",,,,
"What chapters are going to be on the exam?	""As stated in the announcement"," anything that's been covered in lecture is fair game. So focus on the lectures and use the book as a supplement if you need more information""",,,,,
"On my computer, the slides past 35 are all hidden so I can't see or answer the questions	You need to refresh the page usually. I have to unhide them as perry does so reloading page works",,,,,,
"If the poll closes and then we answer the question, do we still get credit for it?	""I don't think so but you shouldn't be able to answer the question if it's closed. Let me know and I can open. usually i do for a bit after perry closes so just refresh browser|Okay", if we answer question after you reopen it," does it count for credit?""",,,,
"Is there a difference between the way the US handles or tests hurricanes and another country, like Cuba?	""I'm sure each country has their own weather service. Here we have the National Hurricane Center and they are the ones that have the """"hurricane hunters"""" as well that fly into hurricanes!""",,,,,,
"Does dew point ALWAYS have to equal the temperature in order for a cloud to form?	""As we go up: if we go up 1km", the temperature is now 15, dp is 7, go up another 1km now temp is 5 and dp is 5, therefore air is saturated and we get a cloud. As we learned earlier, if the temperature and dewpoint are the same we have 100% humidity complete saturation and we are likely to see clouds. We do not HAVE to have 100% humidity for clouds," just very close it depends on the atmospheric profile and stability but for this class it is enough to understand that high humidity means clouds most likely"""
"both slides 5 and 6 closed on me. Not sure what i should do	refresh browser",,,,,,
"slide 11 is hidden and i couldnt answer the question	He's just now opening it",,,,,,
"Would derechos act like hurricanes and strengthen as they travel over water?	No... a derecho is a line of strong thunderstorms that regenerate and form a bow-echo shape that has extremely strong winds. These form over lands because of all the reasons we have learned regarding low pressure systems and storms",,,,,,
"does dew point also decrease at the moist adiabatic lapse rate inside the clouds (so 6 instead of 2)?	Yes. Dewpoint rises at 2 when dry and 6 when moist",,,,,,
"Why is there no cloud on the other side of the mountain?	""Because the air begins to sink it's stable", losing moisture," dry rate""",,,,
"What is a 100 year storm?	""See the beginning of the lecture. It is a phrase used to describe storms like Harvey that cause so much damage and are so strong people say """"This only happens every 100 years"""".""",,,,,,
"I missed the part about how the Coriolis force makes the wind come from the West. Can you explain?	""If you see the states are labeled on the map", it is warmer in Georgia than Ohio because of the gradient in pressure from south to north. Creates a wind. The coriolis force turns the wind to ITS right meaning a westerly wind. South Carolina is to the east of Georgia," so it will likely have a wind coming from the west. Perhaps get a bit warmer too.""",,,,
"why does air expand as it rises, i thought hot air expanded, not cold air.	""http://apollo.lsc.vsc.edu/classes/met130/notes/chapter6/adiab_cool.html|the parcel expands since the lower pressure outside allows the air molecules to push out on the parcel walls",,,,,,
,,,,,,
"since it takes energy for the parcel molecules to """"push out"""" on the parcel walls", they use up some of their internal energy in the process.,,,,,
,,,,,,
therefore," the parcel also cools since temperature is proportional to molecular internal energy""",,,,,
"what was the definition of albedo	The amount of sunlight that is reflected off the earth back to space.|https://mail.esr.org/outreach/glossary/albedo.html",,,,,,
"My live stream has worked before and now it says that I do not have the required software, but I do.  What should I do?	""Try a different browser", refresh the browser," or see Perry's announcement from a month ago on live stream issues. You may need to update Adobe""",,,,
"El nino reduces the number of hurricanes because of the extra […] ? Couldn't hear what he said	wind shear from the lowering of the jet stream|Thank u",,,,,,
"So should I keep doing the reading on the calendar if it isn't about hurricanes?	""Yes"," be following the readings on the schedule found under Perry's second announcement. https://docs.google.com/spreadsheets/d/1cB-cP-CcJxhBbjJoU-sozqQAxurQ-GnlwTS70Omlz-Y/edit?usp=sharing""",,,,,
"where is the subscript 100 coming from on slide 13?	""I think he is saying it in the example of a """"100 year"""" storm""",,,,,,
"If we get 6 days of unexcused absence, does that just drop the 6 lowest participation scores?	Yes",,,,,,
"What fulfills to have such Storms in Bangladesh ?
Are there special reasons ?	""""""The prevalence of tornadoes across Bangladesh all has to do with geography.  South of the country is the large Bay of Bengal", which is a warm and humid body of water similar to the Gulf of Mexico (due to the influence of the Bay of Bengal, locals actually call the tornadoes “Bengal tornadoes.”).  Take the warmth and moisture from the Sea of Bengal and couple that with the cold and dry air streaming south from the Himalayas and Tibetan Plateau to the north," and you’ve got the temperature/humidity clash needed to fuel tornadic storms.  This clash is especially common during the Indian Monsoon season.""""|I don't know much about this but it is interesting. I think it has to do with their topography"," as well as the wind patterns around it are similar to that of the central US""",,
"who do I email if i put 1/1000 for problem 4?	Please await canvas announcement",,,,,,
"what exactly is the milankovitch theory of climate change?	""http://www.indiana.edu/~geol105/images/gaia_chapter_4/milankovitch.htm|They are the processes Perry has been talking about. They happen on thousands/million year timescales and do affect climate but are on too long of timescales to play a factor in what we are seeing today. The processes are obliquity", eccentricity," and precession.""",,,,
"could you explain how to get to the correct answer for this question	""see question below that I posted answer. ",,,,,,
wavelength twice as long," 1 mm which makes less energy to earth. 3000/3000 = 1""",,,,,
"if you won't be in class on Friday, will exam grades be posted to canvas too?	""Exams will be handed back Friday"," grades posted as well. Exams will also be able to be picked up during office hours NEXT WEEK and at the following exam November 10th.""",,,,,
"What does it mean that relative humidity cannot be over 100%?	""100% is just that"," 100% you cannot physically have something greater than that quantity. The vapor pressure cannot exceed the saturation vapor pressure at a given temperature.""",,,,,
"Is this change in temperatures in the hemispheres every 11,000 years what scientists refer to when they say the poles are going to switch?	""The switching of the magnetic poles only has to do with the magnetic field produced by the Earth. Pole reversals happen on much larger time scales (every 200",000 to 300,"000 years or so).|Yes ^ and pole switches are called Precession""",,,,
"How do I draw isotherms for this question at home and still get credit for it?	So I don't have to worry about turning in a hard copy for participation?|This is for your own learning",,,,,,
"what should you do if you can not scroll down to access the answer choices?	Make sure you're scrolling with your mouse not keypad",,,,,,
"Will global warming make Antarctica inhabitable?	""Antarctica is already quite inhabitable but stay tuned to find out|sorry habitable*"," i'm an idiot""",,,,,
"My computer will not play the live stream, it keeps saying I need a newer Adobe flash player but when I download it, it still isn't working. How can I fix this?	Not sure as this is a personal computer question. It's not too late to come to class though! You could also try a campus computer.|You have to restart your computer after downloading the software. I had the same problem",,,,,,
"can someone explain what T is again? missed it	Reccurence interval i.e. 100 year flood",,,,,,
"when will the review powerpoint be released?	See class announcement",,,,,,
"Is humid heat fatal than dry heat?	""Don't know if this has been specifically quantified with death toll but humid heat feels heavier. It contains more moisture therefore the heat index makes the """"feels like"""" temperature higher. Because our bodies can't evaporate the water as easily. Also makes it harder to breathe""",,,,,,
