absolute humidity,The mass of water vapor in a given volume of air. It represents the density of water vapor in the air.
absolute zero,"A temperature of -273_C, -460_F, or 0_K. Theoretically, there is no molecular motion at this temperature."
absolutely stable,"Stable conditions, such as during a clear and calm night, will cause pollutants to become trapped near ground level.[9] Drizzle occurs within a moist air mass when it is stable. Air within a stable layer is not turbulent."
absolutely stable atmosphere,"Stable conditions, such as during a clear and calm night, will cause pollutants to become trapped near ground level.[9] Drizzle occurs within a moist air mass when it is stable. Air within a stable layer is not turbulent."
absolutely unstable,"The state of a column of air in the atmosphere when it has a superadiabatic lapse rate of temperature (i.e., greater than the dry-adiabatic lapse rate)."
absolutely unstable atmosphere,"The state of a column of air in the atmosphere when it has a superadiabatic lapse rate of temperature (i.e., greater than the dry-adiabatic lapse rate)."
absorptivity,The efficiency of radiation absorption.
acclimatization,"The gradual adjustment of the body to new climatic or other environmental conditions, for example, the adjustment to low levels of oxygen at high altitudes."
accretion,The growth of a precipitation particle by the collision of an ice crystal or snowflake with a supercooled liquid droplet that freezes upon impact.
acid fog,Fog formed in an enviroment rich in sulfur and/or nirtogen oxidesleading to acidivication.
acid rain,"Acid rain_is a_rain_or any other form of_precipitation_that is unusually_acidic, meaning that it possesses elevated levels of hydrogen ions (low_pH). It can have harmful effects on plants, aquatic animals and infrastructure. Acid rain is caused by emissions of_sulfur dioxide_and_nitrogen oxide, which react with the_water molecules_in the_atmosphere_to produce acids"
actual vapor pressure,The pressure exerted by the water vapor molecules in a given volume of air.
adiabatic process,"A process that takes place without a transfer of heat between the system (such as an air parcel) and its surroundings. In an adiabatic process compression always results in warming, and expansion results in cooling."
advection,The horizontal transfer of any atmospheric property by the wind.
advection fog,"Occurs when warm, moist air moves over a cold surface and the air cools to below its dew point."
aerosols,"An aerosol is a colloid of fine solid particles or liquid droplets, in air or another gas. Aerosols can be natural or artificial. Examples of natural aerosols are fog, forest exudates and geyser steam. Examples of artificial aerosols are haze, dust, particulate air pollutants and smoke.[1] The liquid or solid particles have diameter mostly smaller than 1 &micro;m or so;"
aerovane,A device that resembles a wind vane with a propeller at one end. Used to indicate wind speed and direction.
air density,Mass per unit volume of air; about 1.275 km per cubic meter at 0_C and 1000 millibars.
air mass,A large expanse of air having similar temperature and humidity at any given height.
air mass thunderstorm,
air parcel,"A very small amount of air, identifiable throughout its dynamic history while moving within the atmosphere."
air pressure,The cumulative force exerted on any surface by the molecules composing air.
albedo,The percent of radiation returning from a surface compared to that which strikes it.
Aleutian low,
altimeter,An instrument that indicates the altitude of an object above a fixed level. Pressure altimeters use an aneroid barometer with a scale graduated in altitude instead of pressure.
altocumulus,"A middle cloud, usually white or gray. Often occurs in layers or patches with wavy, rounded masses or rolls."
altocumulus clouds,"A middle cloud, usually white or gray. Often occurs in layers or patches with wavy, rounded masses or rolls."
altostratus,"A middle cloud composed of gray or bluish sheets or layers of uniform appearance. In the thinner regions, the sun or moon usually appears dimly visible."
altostratus clouds,"A middle cloud composed of gray or bluish sheets or layers of uniform appearance. In the thinner regions, the sun or moon usually appears dimly visible."
ambient air,"The air surrounding a cloud, or the air surrounding rising or sinking air parcels."
ambient temperature,Temperature of the surrounding (ambient) air.
analogue forecasting method,
analysis,
anemometer,An instrument designed to measure wind speed.
aneroid barometer,An instrument designed to measure atmospheric pressure. It contains no liquid.
annual range of temperature,The difference between the warmest and coldest months at any given location.
anomalies,"Departures of temperature, precipitation, or other weather elements from long-term averages."
anticyclone,"An atmospheric anticyclonic circulation, a closed circulation. The wind in an anticyclone is in the clockwise direction in the Northern Hemisphere and counterclockwise in the Southern Hemisphere."
apparent temperature,"The temperature equivalent perceived by humans, caused by the combined effects of air temperature, relative humidity and wind speed."
arctic air,A very cold and dry air mass that forms primarily in winter and the northern interior of North America.
Arctic Oscillation,
atmospheric models,
atmospheric window,A region of the electromagnetic spectrum from 8 to 12 µm where the atmosphere is transparent to radiation.
autumnal equinox,The equinox at which the sun approaches the Southern Hemisphere and passes directly over the equator. Occurs around September 23.
avalanche,A mass of snow (perhaps containing ice and rocks) moving rapidly down a steep mountain slope.
AWIPS,
back door cold front,
ball lightning,
banner cloud,"Formed downwind of the upper slopes of isolated, steep-sided mountains. It is created by the low pressure areas in the downwind vortices drawing in relatively humid air from the lower slopes of the mountain."
barograph,A recording instrument that provides a continuous trace of air pressure variation with time.
barometer,An instrument that measures atmospheric pressure. The two most common barometers are the mercury barometer and the aneroid barometer.
bead lightning,
Beaufort,A scale of wind strength based on visual assessment of the effects of wind on seas and vegetation.
beaufort scale,
Beaufort wind scale,
