keytermId,courseId,keyterm,page,chapterId,sectionId,wikipedia_term,definition,wiki_url
320433,c86c8c8d-dca6-41cd-a010-a83e40d93e75,absolute humidity,0,0,0,humidity,The mass of water vapor in a given volume of air. It represents the density of water vapor in the air.,https://en.wikipedia.org/wiki/Humidity
320434,c86c8c8d-dca6-41cd-a010-a83e40d93e75,absolute zero,0,0,0,Absolute_zero,"A temperature of -273ºC, -460ºF, or 0ºK. Theoretically, there is no molecular motion at this temperature.",https://en.wikipedia.org/wiki/Absolute_zero
50207,c86c8c8d-dca6-41cd-a010-a83e40d93e75,absolutely stable,124,5,2,absolutely_stable,"Stable conditions, such as during a clear and calm night, will cause pollutants to become trapped near ground level.[9] Drizzle occurs within a moist air mass when it is stable. Air within a stable layer is not turbulent.",https://en.wikipedia.org/wiki/Atmospheric_instability#Stable_atmosphere
50201,c86c8c8d-dca6-41cd-a010-a83e40d93e75,absolutely stable atmosphere,124,5,2,absolutely_stable_atmosphere,"Stable conditions, such as during a clear and calm night, will cause pollutants to become trapped near ground level.[9] Drizzle occurs within a moist air mass when it is stable. Air within a stable layer is not turbulent.",https://en.wikipedia.org/wiki/Atmospheric_instability#Stable_atmosphere
50222,c86c8c8d-dca6-41cd-a010-a83e40d93e75,absolutely unstable,128,5,2,absolutely_unstable,"The state of a column of air in the atmosphere when it has a superadiabatic lapse rate of temperature (i.e., greater than the dry-adiabatic lapse rate).",http://glossary.ametsoc.org/wiki/Absolute_instability
50219,c86c8c8d-dca6-41cd-a010-a83e40d93e75,absolutely unstable atmosphere,128,5,2,absolutely_unstable_atmosphere,"The state of a column of air in the atmosphere when it has a superadiabatic lapse rate of temperature (i.e., greater than the dry-adiabatic lapse rate).",http://glossary.ametsoc.org/wiki/Absolute_instability
320435,c86c8c8d-dca6-41cd-a010-a83e40d93e75,absorptivity,0,0,0,Absorptance,The efficiency of radiation absorption.,https://en.wikipedia.org/wiki/Absorptance
320436,c86c8c8d-dca6-41cd-a010-a83e40d93e75,acclimatization,0,0,0,Acclimatization,"The gradual adjustment of the body to new climatic or other environmental conditions, for example, the adjustment to low levels of oxygen at high altitudes.",https://en.wikipedia.org/wiki/Acclimatization
320437,c86c8c8d-dca6-41cd-a010-a83e40d93e75,accretion,0,0,0,Accretion_(atmosphere),The growth of a precipitation particle by the collision of an ice crystal or snowflake with a supercooled liquid droplet that freezes upon impact.,https://en.wikipedia.org/wiki/Accretion_(atmosphere)
40213,c86c8c8d-dca6-41cd-a010-a83e40d93e75,acid fog,104,4,2,acid_fog,Fog formed in an enviroment rich in sulfur and/or nirtogen oxidesleading to acidivication.,https://en.wikipedia.org/wiki/Columbia_Hills_(Mars)
